"","reg","deaths","date","year","weekno"
"459","South West",1010,2010-11-19,2010,47
"460","Wales",597,2010-11-19,2010,47
"461","North East",463,2010-11-26,2010,48
"462","North West",1356,2010-11-26,2010,48
"463","Yorkshire and The Humber",960,2010-11-26,2010,48
"464","East Midlands",851,2010-11-26,2010,48
"465","West Midlands",919,2010-11-26,2010,48
"466","East",985,2010-11-26,2010,48
"467","London",883,2010-11-26,2010,48
"468","South East",1440,2010-11-26,2010,48
"469","South West",987,2010-11-26,2010,48
"470","Wales",605,2010-11-26,2010,48
"471","North East",458,2010-12-03,2010,49
"472","North West",1343,2010-12-03,2010,49
"473","Yorkshire and The Humber",888,2010-12-03,2010,49
"474","East Midlands",750,2010-12-03,2010,49
"475","West Midlands",1016,2010-12-03,2010,49
"476","East",994,2010-12-03,2010,49
"477","London",808,2010-12-03,2010,49
"478","South East",1293,2010-12-03,2010,49
"479","South West",1003,2010-12-03,2010,49
"480","Wales",651,2010-12-03,2010,49
"481","North East",549,2010-12-10,2010,50
"482","North West",1413,2010-12-10,2010,50
"483","Yorkshire and The Humber",1220,2010-12-10,2010,50
"484","East Midlands",896,2010-12-10,2010,50
"485","West Midlands",1114,2010-12-10,2010,50
"486","East",1140,2010-12-10,2010,50
"487","London",1107,2010-12-10,2010,50
"488","South East",1866,2010-12-10,2010,50
"489","South West",1170,2010-12-10,2010,50
"490","Wales",695,2010-12-10,2010,50
"491","North East",558,2010-12-17,2010,51
"492","North West",1509,2010-12-17,2010,51
"493","Yorkshire and The Humber",1097,2010-12-17,2010,51
"494","East Midlands",913,2010-12-17,2010,51
"495","West Midlands",1121,2010-12-17,2010,51
"496","East",1114,2010-12-17,2010,51
"497","London",1015,2010-12-17,2010,51
"498","South East",1701,2010-12-17,2010,51
"499","South West",1143,2010-12-17,2010,51
"500","Wales",690,2010-12-17,2010,51
"501","North East",616,2010-12-24,2010,52
"502","North West",1605,2010-12-24,2010,52
"503","Yorkshire and The Humber",1098,2010-12-24,2010,52
"504","East Midlands",971,2010-12-24,2010,52
"505","West Midlands",1159,2010-12-24,2010,52
"506","East",1233,2010-12-24,2010,52
"507","London",1149,2010-12-24,2010,52
"508","South East",1717,2010-12-24,2010,52
"509","South West",1157,2010-12-24,2010,52
"510","Wales",751,2010-12-24,2010,52
"511","North East",527,2010-12-31,2010,53
"512","North West",1408,2010-12-31,2010,53
"513","Yorkshire and The Humber",976,2010-12-31,2010,53
"514","East Midlands",834,2010-12-31,2010,53
"515","West Midlands",1036,2010-12-31,2010,53
"516","East",950,2010-12-31,2010,53
"517","London",965,2010-12-31,2010,53
"518","South East",1331,2010-12-31,2010,53
"519","South West",924,2010-12-31,2010,53
"520","Wales",707,2010-12-31,2010,53
"521","North East",616,2011-01-07,2011,1
"522","North West",1662,2011-01-07,2011,1
"523","Yorkshire and The Humber",1351,2011-01-07,2011,1
"524","East Midlands",1135,2011-01-07,2011,1
"525","West Midlands",1264,2011-01-07,2011,1
"526","East",1323,2011-01-07,2011,1
"527","London",1188,2011-01-07,2011,1
"528","South East",1911,2011-01-07,2011,1
"529","South West",1318,2011-01-07,2011,1
"530","Wales",846,2011-01-07,2011,1
"531","North East",654,2011-01-14,2011,2
