"","week","deaths","age","year","weekno","reg"
"293",2015-04-17,11639,"Total",2015,16,"England & Wales"
"294",2020-04-17,22351,"Total",2020,16,"England & Wales"
"295",2013-05-17,9846,"Total",2013,20,"England & Wales"
"296",2019-05-17,10272,"Total",2019,20,"England & Wales"
"297",2011-06-17,8960,"Total",2011,24,"England & Wales"
"298",2016-06-17,9384,"Total",2016,25,"England & Wales"
"299",2015-07-17,8797,"Total",2015,29,"England & Wales"
"300",2012-08-17,8775,"Total",2012,33,"England & Wales"
"301",2018-08-17,8830,"Total",2018,33,"England & Wales"
"302",2010-09-17,8718,"Total",2010,38,"England & Wales"
"303",2014-10-17,9463,"Total",2014,42,"England & Wales"
"304",2017-11-17,10274,"Total",2017,46,"England & Wales"
"305",2010-12-17,10880,"Total",2010,51,"England & Wales"
"306",2013-01-18,11075,"Total",2013,3,"England & Wales"
"307",2019-01-18,11860,"Total",2019,3,"England & Wales"
"308",2011-02-18,9756,"Total",2011,7,"England & Wales"
"309",2011-03-18,9841,"Total",2011,11,"England & Wales"
"310",2016-03-18,11015,"Total",2016,12,"England & Wales"
"311",2014-04-18,7996,"Total",2014,16,"England & Wales"
"312",2012-05-18,9903,"Total",2012,20,"England & Wales"
"313",2018-05-18,10141,"Total",2018,20,"England & Wales"
"314",2010-06-18,8513,"Total",2010,25,"England & Wales"
"315",2014-07-18,9114,"Total",2014,29,"England & Wales"
"316",2017-08-18,9295,"Total",2017,33,"England & Wales"
"317",2015-09-18,9097,"Total",2015,38,"England & Wales"
"318",2013-10-18,9233,"Total",2013,42,"England & Wales"
"319",2019-10-18,10156,"Total",2019,42,"England & Wales"
"320",2011-11-18,9302,"Total",2011,46,"England & Wales"
"321",2016-11-18,10690,"Total",2016,47,"England & Wales"
"322",2015-12-18,10688,"Total",2015,51,"England & Wales"
"323",2018-01-19,14256,"Total",2018,3,"England & Wales"
"324",2010-02-19,10102,"Total",2010,8,"England & Wales"
"325",2016-02-19,10589,"Total",2016,8,"England & Wales"
"326",2010-03-19,9726,"Total",2010,12,"England & Wales"
"327",2013-04-19,11750,"Total",2013,16,"England & Wales"
"328",2019-04-19,9025,"Total",2019,16,"England & Wales"
"329",2017-05-19,10288,"Total",2017,20,"England & Wales"
